Layer,Taxon.mod,BONE_LENGTH
I,Ursid,60.85
I,Ursid,122.18
I,Bos.Bison,35.94
I,Ursid,34.1
I,Bos.Bison,51.62
I,Cervid,44.89
J,Cervid,27.47
J,Cervid,48.33
I,Ursid,42.76
J,Cervid,169.48
I,Ursid,56.68
I,Cervid,53.82
I,Cervid,112.49
I,Bos.Bison,62.78
I,Ursid,75.34
I,Cervid,14.37
I,Ursid,17.97
I,Cervid,18.18
I,Cervid,18.66
I,Ursid,19.18
I,Ursid,19.58
I,Ursid,19.62
I,Cervid,19.73
K,Ursid,19.75
