lev.final,TAXON,ELEMENT_MAMMAL,scan_zone,n,scan_site,horse,wildebeest,reindeer,Bison,sheep
J/K,Capra_ibex,Metatarsal,zone6,0,MR6,0.6,0.65,0.59,0.48,0.39
K,Capra_sp.,Vert_Cervical,zone1,1,CE1,0.5,0.52,0.45,0.37,0.12
K,Capra_sp.,Vert_Cervical,zone2,0,CE2,0.41,0.47,0.43,0.62,0.13
I,Bison_priscus,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
I,Bison_priscus,Radius,zone2,1,RA2,0.51,0.62,0.57,0.56,0.36
I,Bison_priscus,Radius,zone3,0,RA3,0.84,0.8,0.73,0.62,0.52
I,Bison_priscus,Radius,zone4,0,RA4,0.43,0.49,0.38,0.42,0.19
I,Bison_priscus,Radius,zone5,0,RA5,0.42,0.47,0.49,0.35,0.21
I,Bos_Bison_sp.,Atlas,zone1,0,AT1,0.51,0.55,0.47,0.52,0.07
I,Bos_Bison_sp.,Atlas,zone2,1,AT2,0.47,0.57,0.42,0.91,0.11
I,Bos_Bison_sp.,Femur,zone1,0,FE1,0.35,0.41,0.39,0.31,0.28
I,Bos_Bison_sp.,Femur,zone2,2,FE2,0.3,0.42,0.35,0.34,0.16
I,Bos_Bison_sp.,Femur,zone3,6,FE3,0.36,0.5,0.35,0.34,0.2
I,Bos_Bison_sp.,Femur,zone4,8,FE4,0.59,0.65,0.57,0.45,0.36
I,Bos_Bison_sp.,Femur,zone5,7,FE5,0.46,0.49,0.4,0.36,0.24
I,Bos_Bison_sp.,Femur,zone6,2,FE6,0.3,0.38,0.32,0.26,0.22
I,Bos_Bison_sp.,Radio-ulna,zone1,0,UL1,0.43,0.46,0.49,0.34,0.18
I,Bos_Bison_sp.,Radio-ulna,zone2,1,UL2,0.65,0.73,0.68,0.69,0.26
I,Bos_Bison_sp.,Radio-ulna,zone3,0,RA1,0.37,0.51,0.53,0.48,0.35
I,Bos_Bison_sp.,Radio-ulna,zone4,0,RA2,0.51,0.62,0.57,0.56,0.36
I,Bos_Bison_sp.,Radio-ulna,zone5,0,RA3,0.84,0.8,0.73,0.62,0.52
I,Bos_Bison_sp.,Radio-ulna,zone6,0,RA4,0.43,0.49,0.38,0.42,0.19
I,Bos_Bison_sp.,Radio-ulna,zone7,0,RA5,0.42,0.47,0.49,0.35,0.21
I,Bos_Bison_sp.,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
I,Bos_Bison_sp.,Radius,zone2,3,RA2,0.51,0.62,0.57,0.56,0.36
I,Bos_Bison_sp.,Radius,zone3,1,RA3,0.84,0.8,0.73,0.62,0.52
I,Bos_Bison_sp.,Radius,zone4,7,RA4,0.43,0.49,0.38,0.42,0.19
I,Bos_Bison_sp.,Radius,zone5,1,RA5,0.42,0.47,0.49,0.35,0.21
I,Bos_Bison_sp.,Vert_Lumbar,zone1,0,LU1,0.48,0.58,0.49,0.31,0.26
I,Bos_Bison_sp.,Vert_Lumbar,zone2,1,LU2,0.42,0.52,0.45,0.11,0.22
I,Capra_caucasica,Astragalus,zone1,0,AS1,0.67,0.67,0.68,0.72,0.54
I,Capra_caucasica,Astragalus,zone2,1,AS2,0.64,0.77,0.7,0.62,0.63
I,Capra_caucasica,Metatarsal,zone1,0,MR1,0.59,0.63,0.58,0.52,0.43
I,Capra_caucasica,Metatarsal,zone2,1,MR2,0.75,0.71,0.57,0.59,0.53
I,Capra_caucasica,Metatarsal,zone3,0,MR3,0.91,0.84,0.65,0.67,0.68
I,Capra_caucasica,Metatarsal,zone4,0,MR4,0.71,0.65,0.54,0.51,0.51
I,Capra_caucasica,Metatarsal,zone5,0,MR5,0.58,0.54,0.41,0.4,0.31
I,Capra_caucasica,Metatarsal,zone6,0,MR6,0.6,0.65,0.59,0.48,0.39
I,Capra_sp.,Humerus,zone1,0,HU1,0.23,0.32,0.26,0.24,0.13
I,Capra_sp.,Humerus,zone2,3,HU2,0.25,0.42,0.31,0.25,0.22
I,Capra_sp.,Humerus,zone3,0,HU3,0.64,0.7,0.61,0.45,0.42
I,Capra_sp.,Humerus,zone4,0,HU4,0.55,0.61,0.62,0.48,0.37
I,Capra_sp.,Humerus,zone5,0,HU5,0.36,0.51,0.48,0.37,0.34
I,Capra_sp.,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
I,Capra_sp.,Radius,zone2,1,RA2,0.51,0.62,0.57,0.56,0.36
I,Capra_sp.,Radius,zone3,1,RA3,0.84,0.8,0.73,0.62,0.52
I,Capra_sp.,Radius,zone4,0,RA4,0.43,0.49,0.38,0.42,0.19
I,Capra_sp.,Radius,zone5,0,RA5,0.42,0.47,0.49,0.35,0.21
I,Capreolus_capreolus,Femur,zone1,0,FE1,0.35,0.41,0.39,0.31,0.28
I,Capreolus_capreolus,Femur,zone2,1,FE2,0.3,0.42,0.35,0.34,0.16
I,Capreolus_capreolus,Femur,zone3,0,FE3,0.36,0.5,0.35,0.34,0.2
I,Capreolus_capreolus,Femur,zone4,0,FE4,0.59,0.65,0.57,0.45,0.36
I,Capreolus_capreolus,Femur,zone5,0,FE5,0.46,0.49,0.4,0.36,0.24
I,Capreolus_capreolus,Femur,zone6,0,FE6,0.3,0.38,0.32,0.26,0.22
I,Capreolus_capreolus,Humerus,zone1,0,HU1,0.23,0.32,0.26,0.24,0.13
I,Capreolus_capreolus,Humerus,zone2,1,HU2,0.25,0.42,0.31,0.25,0.22
I,Capreolus_capreolus,Humerus,zone3,0,HU3,0.64,0.7,0.61,0.45,0.42
I,Capreolus_capreolus,Humerus,zone4,0,HU4,0.55,0.61,0.62,0.48,0.37
I,Capreolus_capreolus,Humerus,zone5,0,HU5,0.36,0.51,0.48,0.37,0.34
I,Cervid_sp.,Astragalus,zone1,0,AS1,0.67,0.67,0.68,0.72,0.54
