lev.final,TAXON,ELEMENT_MAMMAL,NISP,MNE,MNI,MAU,MAU_percent
K,Cervid_sp.,Tibia,6,7,2,3.5,100
K,Cervid_sp.,Ulna,1,1,1,0.5,14.285714285714285
K,Cervus_elaphus,Ischium,1,1,1,0.5,100
K,Cervus_elaphus,Metatarsal,1,1,1,0.5,100
K,Cervus_elaphus,Radio-ulna,1,1,1,0.5,100
K,Cervus_elaphus,Radius,1,1,1,0.5,100
K,Cervus_elaphus,Tibia,1,1,1,0.5,100
K,Equid_sp.,Radius,1,1,1,0.5,50
K,Equid_sp.,Tibia,2,2,1,1,100
K,Equus_ferus,Tibia,1,1,1,0.5,100
K,Megaloceros_giganteus,Femur,1,1,1,0.5,100
K,Megaloceros_giganteus,Humerus,1,1,1,0.5,100
K,Megaloceros_giganteus,Radius,1,1,1,0.5,100
K,Panthera_pardus,Femur,3,3,3,1.5,100
K,Panthera_pardus,Phalanx_5/2,1,2,1,0.1,6.666666666666667
K,Ursus_sp.,Vert_Cervical,1,1,1,0.142857142857143,100
K,Ursus_spelaeus,Femur,1,1,1,0.5,33.33333333333333
K,Ursus_spelaeus,Humerus,1,1,1,0.5,33.33333333333333
K,Ursus_spelaeus,Sesamoid,1,1,1,NA,NA
K,Ursus_spelaeus,Ulna,5,2,1,1,66.66666666666666
K,Vulpes_vulpes,Humerus,1,1,1,0.5,100
I,Bison_priscus,Mandible_w_teeth,2,2,1,1,100
I,Bos_Bison_sp.,Mandible_no_teeth,4,3,2,1.5,17.647058823529413
I,Bos_primigenius,Mandible_no_teeth,1,1,1,0.5,16.666666666666664
I,Canis_lupus,Mandible_w_teeth,1,1,1,0.5,50
I,Canis_sp.,Mandible_no_teeth,1,1,1,0.5,50
I,Capra_ibex,Mandible_w_teeth,1,1,1,0.5,50
I,Capra_sp.,Mandible_no_teeth,1,1,1,0.5,16.666666666666664
I,Cervid_sp.,Mandible_no_teeth,2,2,1,1,16.666666666666664
I,Cervus_elaphus,Mandible_no_teeth,3,2,1,1,22.22222222222222
I,Cervus_elaphus,Maxilla_no_teeth,1,1,1,0.5,11.11111111111111
I,Crocuta_spelaea,Mandible_no_teeth,1,1,1,0.5,50
I,Hyaena_sp.,Mandible_no_teeth,1,1,1,0.5,100
I,Megaloceros_giganteus,Mandible_no_teeth,1,1,1,0.5,20
I,Ursus_sp.,Mandible_no_teeth,4,2,1,1,28.57142857142857
I,Ursus_spelaeus,Mandible_no_teeth,2,2,1,1,28.57142857142857
I,Ursus_spelaeus,Mandible_w_teeth,2,2,2,1,28.57142857142857
I,Ursus_spelaeus,Maxilla_w_teeth,1,1,1,0.5,14.285714285714285
I/J,Bison_priscus,Mandible_w_teeth,1,1,1,0.5,100
I/J,Gulo_Gulo,Mandible_w_teeth,1,1,1,0.5,100
I/J,Ursus_spelaeus,Mandible_no_teeth,1,1,1,0.5,33.33333333333333
J,Cervid_sp.,Mandible_no_teeth,1,1,1,0.5,50
J,Cervus_elaphus,Mandible_no_teeth,2,1,1,0.5,100
J,Felidae_sp.,Mandible_no_teeth,1,1,1,0.5,100
